Index,SoW,Standards
o ORS: DHS S&T has executed an MOU with USAF ORS to collaborate in the demonstration of an on-orbit capability to collect relevant data in support of the DHS mission and the ORS mission to enable rapid low-cost space capability. ORS has developed a flexible, reusable, government-owned design for _6U” CubeSats. ORS employs autonomous manufacturing, modular open system architecture, and open standards. ORS will demonstrate autonomous _open manufacturing” of low volume, high-value assets and autonomous digital techniques to provide mission assurance. DHS plans to leverage a 2-ball ORS constellation to perform RF signal detection in support of the USCG mission.
o HE360: HE360 is a commercial company focused on space-based sensing of radio-frequency (RF) signals and analytic applications of such data sets. The company intends to launch a constellation of satellites (3) able to perform RF signal detection, geolocation, and identification in early 2017. HE360 is under contract with DHS S&T to support on-orbit testing, evaluations, and integration of their systems with Mobile CubeSat Command and Control (MC3) System o MC3 System: The MC3 System is a network of fully autonomous ground stations. ASAP will purchase two MC3 ground stations and is working with the USCGês Rapid Development Program to determine locations where MC3 will be installed.
26 September 2016 Page 21 of 22
MC3 will be integrated into the USCGês Rescue Operations Centers, supporting Arctic MDA including search-and-rescue.
Through collaboration with ORS, HE360 and MC3, DHS S&T and USCG will demonstrate, test, and evaluate detecting emergency distress beacons from space utilizing multiple on-orbit constellations of CubeSat systems. The space-based sensor data will be incorporated into predictive analytics and fusion tools to improve the arctic MDA mission area.
","https://www.iso.org/standard/32572.html
https://www.iso.org/standard/69209.html
https://www.iso.org/standard/69208.html
https://www.iso.org/standard/73364.html
https://www.iso.org/standard/61905.html
https://www.iso.org/standard/55237.html
https://www.iso.org/standard/55238.html
https://www.iso.org/standard/57914.html
https://www.iso.org/standard/57915.html
https://www.iso.org/standard/57916.html
https://www.iso.org/standard/45167.html
https://www.iso.org/standard/74416.html
"

3,"3.3.1 Polar Scout Trade Space Analysis
Four broad range of solutions were considered in the ASAP trade space analysis: terrestrial, maritime, airborne, and space-based. To assess the alternatives, the trade study examined a 200 by 200 NMI area 100 NM north of Barrow, Alaska, and the entire Juneau Alaska region. Each option was assessed by its ability to provide continuous coverage (24 hours per day, seven days per week) and provide a minimum of a 30 minute revisit time.
Each alternative was assessed in the following areas:
Platform acquisition cost
Access to area of interest
Technical maturity/feasibility
3.3.1.1 Preferred Alternative
Within each solution category (terrestrial, maritime, airborne, and space-based) many potential configurations were constructed and assessed. The space-based solutions using CubeSats proved to be the optimal solution in the ability to provide a 30-minute revisit and were the least expensive alternatives. The best land-based, airborne, and maritime solutions were cost-prohibitive or had insufficient range when compared to the CubeSat space-based solution.
3.3.1.2 Logistics Considerations
Logistics were not taken into consideration in the trade space analysis since other factors disqualified the non-CubeSat alternatives due to their high cost of acquiring the asset, access to coverage area, and technical maturity.
3.3.1.3 Polar Scout Technical Approach
3.3.1.3.1 Design, Development, and Integration Approach
Polar Scout is leveraging design and development activities performed under other government or commercial contracts.
The 6U CubeSats have been under development for approximately 5 years by ORS. When DHS decided to leverage the ORS 6U CubeSats, the CubeSats had already passed their CDR milestone approximately two years prior. The milestones
26 September 2016 Page 23 of 22
monitored by DHS will be bus and payload integration activities, bus and payload test activities (e.g. thermal, environmental, etc) and ground processing activities. DHS is leveraging a payload design (by Rincon) that is currently in operations on another CubeSat. This payload will be integrated into the 6U CubeSats. The milestones monitored by DHS will be payload fabrication, payload and bus integration, payload test activities (e.g. thermal, environmental, etc), and payload processing activities. The ASAP Program Manager has decision authority of all 6U flight build, payload integration and test activities, and deviations that are directly related to the operations of the 6U CubeSats.
Polar Scout is leveraging the HE360 commercial development effort to acquire additional EPIRB data. For the HE360 contract, the ASAP Program Manager has decision authority for only those design, development, and test activities related to the collection and processing of EPRIB data.
A portion of the Analytics contract (RadiantBlue/HumanGeo) will be for RadiantBlue/HumanGeo to perform as the ground integrator for Polar Scout. RadiantBlue/HumanGeo will integrate the EPIRB data from both HE360 and the 6U and provide that data to the USCG and NOAA as agreed upon. To reduce cost and to further separate the Polar Scout and Analytics efforts, the ASAP project is also investigating the possibility of having Rincon integrate the EPRIB data from both the 6Us and HE360.
3.3.1.3.2 Communication Approach
The ASAP Program Manager has stood up several IPTs to monitor the Polar Scout activities. Stakeholders for the 6U CubeSat effort meet weekly in the Technical IPT and the Ground IPT. Through these two IPTs, the Polar Scout Program Manager gains insight into the status, issues, risks, and resolution of challenges. The ASAP Program Manager also has a bi-weekly technical and budget meeting with the 6U prime contractor. In addition the ASAP Program Manager conducts a status meeting with Aerospace to review project status, actions, risks, and open items.
For the HE360 contract, HE360 provides monthly status and budget reports. TEMs are held approximately monthly to review the status, issues, risks, and resolution of challenges.
3.3.2 Analytics
For the RadiantBlue/HumanGeo contract, the Program Manager meets with the team bi-weekly to review the status, issues, risks, and resolution of challenges. These meeting just began during the month of March 2017.
",https://www.iso.org/standard/46099.html

3,"Algorithm data package refers to computer software, executable on a Linux, Unix, or Windows-based computer system, that implements the APID algorithm and contains:
o   An executable binary file that contains the applicationês main entry point and any code that was statically linked to the application target;
o   Resource files and software libraries necessary for the execution of the executable file; and
o   Computer software documentation corresponding to the use, operation, and maintenance of the application.
Application Program Interface refers to computer software documentation describing how software components may interact with other software components. It details, in human-readable format, the expected behavior of software libraries. It may contain the set of public methods, variables used as arguments, and return values for public methods. It shall contain a set of protocols, routines, and tools necessary to build application software interacting with the computer software for which the API was written. ","https://www.iso.org/standard/43073.html
https://www.iso.org/standard/43070.html
https://www.iso.org/standard/43090.html
https://www.iso.org/standard/43071.html
https://www.iso.org/committee/45202/x/catalogue/
https://www.iso.org/standard/61507.html
"

3,"DHS S&T EXD is interested in high-impact approaches which can be retrofitted into existing EDS baselines as well as innovations in EDS concept development. Recent technological developments which are expected to impact critical metrics such as probability of detection (Pd) and probability of false alarm (Pfa) include new improvised explosive threat signature technology, compressive measurement, coded apertures, new or innovative sources and detectors including advanced detection, and novel classification and reconstruction algorithms. The work outlined here focuses on information theoretic analysis of security data which implements high impact approaches, as well as applying the tools of optimal detection, estimation, pattern recognition, machine learning, and information theory.","https://www.iso.org/standard/6480.html
https://www.iso.org/standard/40715.html
https://www.iso.org/standard/43897.html
https://www.iso.org/standard/52075.html
"

3,"Preliminary Design Summary _ The contractor shall proceed with the development of a preliminary design based on the outcome of the System Concept Review.  The contractor shall begin to refine the system specifications down to the software module level.  All software modules shall be described functionally with clearly defined inputs and outputs. The contractor shall complete a preliminary design and hold a Preliminary Design Review (PDR) within six (6) months of the contract award date.

Subtask 2.1 _ System Concept Review (SCR) _ At the beginning of the contract the contractor shall have a requirements review with the DHS COR to establish the set of weapons to focus on for the algorithm development and to establish detection and false alarm goals. The contractor shall provide the prototype algorithm results at the time of the SCR review so that the decision of weapon priorities can factor in how difficult each weapon is to detect. The contractor shall coordinate with DHS to schedule a SCR meeting. The contractor shall prepare and submit to the DHS COR the proposed agenda and preliminary algorithm results ten (10) business days prior to the meeting and an update at the meeting. The contractor shall prepare and submit the minutes of the meeting to the DHS S&T COR within five (5) business days after the meeting.

Subtask 2.2 _ Data Collection
Subtask 2.2.1 _ Obtain Items _ Based on the discussion with DHS from the system concept review subtask, a list of prohibited items to be used for data collection will be defined. The items will be purchased by the contractor for scanning at Transportation Security Laboratory (TSL) in Atlantic City, NJ or an alternate site.

Subtask 2.2.2 _ Data Collection Plan _ Based on the discussion with DHS from the system concept review subtasks, the contractor shall prepare a data collection plan. This plan shall include key image features that are to be collected as well as the methodology for scanning each prohibited item. This includes planned concealment strategies and bag configurations. The contractor shall also prepare an outline for the data collection report describing data to be provided after the data collection subtasks (subtasks 2.2.3, 2.2.4, 2.2.5) have been completed.

Subtask 2.2.3 _ Collect Data _ The contractor will conduct the data collection at the contractor site and offsite as necessary per the data collection plan. Offsite collection is assumed at the TSL. The offsite data collection is planned for one week. The contractor shall ship any necessary equipment, install it for one week of use, and de-install and return the equipment to the contractorês facilities at the conclusion of data collection.
    
Subtask 2.2.4 _ Data Truthing _ The contractor shall review the collected data to identify and mark the threat items.

Subtask 2.2.5 _ Prepare and Transmit Data Collection Report _ The Contractor shall document the items scanned and the bag, concealment, and content information. This report shall be delivered electronically to the DHS COR.

Subtask 2.3 _ Image Analysis and Feature Identification _ The images collected will be scored using the current algorithm. The images where the threat is not detected will be examined to identify their unique features and to determine the potential strategies for detection.

Subtask 2.4 _ PDR _ The contractor shall hold a Preliminary Design Review (PDR), within six (6) months of contract award. PDR materials shall be delivered ten (10) business days prior to PDR to the DHS S&T COR along with specifications and drawings. Approval of the PDR deliverables by the DHS S&T COR will be required prior to PDR. As part of the PDR deliverables, the contractor shall propose a system prototype baseline to include:
","https://www.iso.org/standard/62286.html
https://www.iso.org/standard/71256.html
https://www.iso.org/standard/33733.html
https://www.iso.org/standard/41448.html
https://www.iso.org/standard/63700.html
https://www.iso.org/standard/43046.html
https://www.iso.org/standard/54993.html
"

3,"Current airport screening protocols rely on identification cards such as driverês licenses to perform identity verification at TSA checkpoints.  In the future, ensuring identity could be even more important if a substantial fraction of the flying public goes through an expedited screening protocol based on information (e.g., travel patterns) associated with passenger identity.  In addition, more adaptive security protocols, in which checked or carry-on baggage screening protocols are closely linked to passenger risk, would require mechanisms for high-confidence association between passengers and their bags.
In this task, AF-MIT/LL will conduct a study of existing and feasible near-term identity verification and correlation methods in order to assess advantages and projected vulnerabilities with respect to potential _screening at speed” checkpoint protocols.  Components that will be considered include credential authentication technologies, standoff biometrics, scan-able unique identifiers, and the underlying software architecture and databases required to manage identity-related information.  AF-MIT/LL will perform limited implementation to support the analysis; for instance, evaluation of low-fidelity face matching to verify identity across multiple passenger visits to the same airport may require some testing with actual face images extracted from surveillance video at a range of resolutions.  The output of this task will be a set of recommendations for the use of identity verification and correlation mechanisms, and an identification of near-term development efforts required to fill capability gaps.
","https://www.iso.org/standard/50867.html
https://www.iso.org/standard/63637.html"

3,"DHS S&T is has a variety of projects supporting the development of next-generation aviation security capabilities as part of its APEX Screening-at-Speed program.   Several of those efforts will utilize an open architecture and allow integration with 3rd-party party capabilities.   DHS S&T is seeking the following from Sandiaê OTAP project to further its APEX program:
1.   Further Development of OPSL to support AIT modularization to include third-party algorithms supporting threat detection (including ATR Reconstruction algorithms).
2.   Development of a standardized data format to structure data from AIT scans.  The intent of the formatting effort is to ensure that third-parties have a standardized, non-proprietary way to access all levels of data from AIT scans as opposed to being limited to post-reconstruction, proprietary data.
a.  (Optional) Accelerate the development of an _Aê-Aê” data format for CT machines to enable greater access to pre-reconstruction data.  The technical lessons learned and progress from the CT effort already underway with the OTAP project will directly inform and facilitate the AIT data format effort. 
3.   Support further development of the MRAD algorithm development environment to support rapid test and evaluation (T&E) of AIT ATR algorithms. 
a.       (Optional) Accelerate the development of third-party CT ATR and Reconstruction algorithms on the OTAP program to mature the ATR development and T&E of AIT algorithms. ","https://www.iso.org/standard/61457.html
https://www.iso.org/standard/43351.html
https://www.iso.org/standard/67604.html
https://www.iso.org/standard/50251.html
https://www.iso.org/standard/58046.html
https://www.iso.org/standard/72941.html
"

3,"As a result, Cyber.gov is creating a robust, innovative and holistic cyber security architecture design that mitigates modern threats (Asset Management, Configuration Management, Phishing, DDoS, Ransomware, Mobile, Cloud issues and more) by leveraging best practices and implementable solutions with minimal impact to workforce efficiency. It will not only addresses some of the issues of perimeter based defense, but also brings new technologies such as Software Defined Perimeter (SDP) tailored to the .Gov domain, while guiding CIOs and CISOs in selecting and implementing current best practices for 34 cyber security components. 
Cyber.gov will significantly improve the security and resiliency across the D/As. 
","https://www.iso.org/standard/44375.html
https://www.iso.org/standard/56889.html
https://www.iso.org/standard/56742.html
https://www.iso.org/standard/45170.html
https://www.iso.org/standard/54533.html"

3,"Recent core technology deliverables for FY 2012 include the SRI SIMON-based MDAS and the NRL Open Mongoose System.  Other new solutions include new multi-INT Persistent Wide Area Suveillance/Precision Geo-Location Capabilities.  This WAS (Wide Area Surveillance) capability is comprised of:
_       algorithims to enable ship detection and generation of reports using NOAA HFR, DoD aerostat (air) radars, and shipboard commercial navigation radars.
_       Multi-INT buoy extension with power generation
_       Mobile terminal to produce timely ship detection service using commercial SAR/EO satellites
_       Develop buoy-based and sea-floor acoustic detection technology
_       Develop a 3G/4G cellular based smart phone application and new Class E AIS standard.
Existing technology and infrastructure was foraged for PCSI.
","https://www.iso.org/standard/36696.html
https://www.iso.org/standard/46051.html
https://www.iso.org/standard/31619.html"

3,"The SWAMP offers a no-cost, cloud-based, high throughput computing platform at mir-swamp.org that is capable of analyzing over 275 million lines of code each day. With this infrastructure, users can conduct a variety of tests on applications of any size in a timely manner. The SWAMP staff maintains and updates all tools and platforms available in the SWAMP, ensuring that users can focus on testing and not worry about the infrastructure necessary to support testing activities.
The SWAMPês shared, continuous assurance facility simplifies integrating security into the classroom and software development life cycle by offering a marketplace of open-source and commercial software analysis tools to perform comprehensive security testing on your own applications. A library of public applications with known vulnerabilities is also provided for download, testing, and assessment. Research has shown that it is necessary to use more than one tool when testing a software package to ensure that secure coding practices were followed and that there are no vulnerabilities in the application. In the SWAMP, results from multiple testing tools are compiled into a single integrated viewer that presents identified weaknesses in a way that helps users prioritize and fix each error in the code. As weaknesses are addressed, software applications become more secure but should be reassessed to ensure that no new weaknesses were introduced during the remediation process or throughout the software development life cycle.
New science and technology generated from this program is listed below:
_       New analysis techniques for static code analysis through the STAMP project
_       Improved testing and evaluation techniques for static analysis tools
_       Unified Threat Management (UTM) system. This provides the capability for security professional to monitor and manage a wide range of security related applications and infrastructure through a single management environment.
The key R&D center for this SWAMP is the Morgridge Institute of Research, where the testing tools and platforms are located.  There are multiple projects and multiple contracts associated with this program, so there is no aggregate TRL level calculated for the SWA program as a whole.  Projects may starts at different TRL levels, especially if they are leveraging previous work. 
","https://www.iso.org/standard/61457.html
https://www.iso.org/standard/67604.html
https://www.iso.org/standard/46412.html
https://www.iso.org/standard/46413.html"
